country_code,year,total_population,male_population,female_population,working_age_population_ratio,mortality_rate,life_expectancy,life_expectancy_male,life_expectancy_female,fertility_rate
UGA,1960,7640973.0,3863820.0,3777153.0,93.7704888100381,124.8,45.633,43.882,47.628,6.905
UKR,1960,42824093.0,19046221.0,23777872.0,51.4066015383519,,69.388,65.912,71.989,2.285
URY,1960,2529957.0,1267586.0,1262371.0,55.6856376635188,56.6,67.683,64.758,70.997,2.827
USA,1960,180671000.0,88695832.0,91975168.0,66.9354046625049,25.9,69.7707317073171,66.6,73.1,3.654
UZB,1960,8209109.0,3987392.0,4221717.0,83.5331214908891,,56.539,54.268,58.759,6.613
VCT,1960,84388.0,39789.0,44599.0,112.371652909201,,58.566,57.584,59.463,7.247
VEN,1960,8160090.0,4120475.0,4039615.0,96.3926490281079,58.8,58.376,56.523,60.397,6.382
VGB,1960,7950.0,3973.0,3977.0,92.7740058195926,70.6,62.709,60.785,64.749,4.812
VIR,1960,32500.0,16003.0,16497.0,89.2175128085701,,62.7435365853659,59.185,66.48,5.149
VNM,1960,32531933.0,16056204.0,16475729.0,84.8819902963466,,58.046,55.054,61.189,6.273
VUT,1960,64431.0,34737.0,29694.0,93.6434947254531,111.4,49.841,49.196,50.953,6.784
WSM,1960,112490.0,57637.0,54853.0,112.145214521452,78.4,55.153,53.048,57.588,7.779
YEM,1960,5532301.0,2753528.0,2778773.0,78.5433373265655,272.8,33.462,31.105,36.028,7.988
ZAF,1960,16440172.0,8436594.0,8003578.0,83.4347848741973,,52.575,50.823,54.578,6.105
ZMB,1960,3153729.0,1562964.0,1590765.0,95.5754248424379,99.1,50.648,49.581,51.708,6.947
ZWE,1960,3809389.0,1883710.0,1925679.0,102.966287273731,79.4,53.492,51.077,55.963,7.195
ABW,1961,55578.0,27326.0,28252.0,81.9690917425185,,64.215,61.114,67.394,4.422
AFG,1961,9214083.0,4775684.0,4438399.0,81.2840359519206,248.4,33.291,32.626,34.043,7.284
AGO,1961,5301583.0,2690647.0,2610936.0,81.1686330123961,,36.902,34.266,39.885,6.79
ALB,1961,1659800.0,836331.0,823469.0,89.0174463626839,,57.488,55.028,59.995,6.273
AND,1961,10283.0,5248.0,5035.0,51.3987043580683,,72.573,69.454,75.744,2.543
ARE,1961,137989.0,86829.0,51160.0,63.8855568355919,138.5,51.596,48.999,55.611,6.494
ARG,1961,20726276.0,10368906.0,10357370.0,57.5425154277645,,64.631,61.526,68.236,3.12
ARM,1961,1927484.0,936945.0,990539.0,79.0425163322499,,59.4940975609756,56.538,62.598,4.67
ASM,1961,20666.0,10775.0,9891.0,105.427435387674,,65.648,63.628,67.916,6.575
ATG,1961,56540.0,27038.0,29502.0,78.3564668769716,58.5,63.335,60.766,65.52,4.559
AUS,1961,10483000.0,5295783.0,5187217.0,63.2465399843496,20.0,70.9731707317073,67.9,74.2,3.54
AUT,1961,7086299.0,3302795.0,3783504.0,53.4733521856902,35.0,69.5773170731707,66.47,72.84,2.78
AZE,1961,4045750.0,1918256.0,2127494.0,87.0610543019314,,51.435,47.15,55.513,5.937
BDI,1961,2835119.0,1371997.0,1463122.0,93.6425747166004,,43.364,41.998,44.657,7.023
BEL,1961,9183948.0,4495485.0,4688463.0,56.1205759358107,28.3,70.5209756097561,67.56,73.63,2.63
BEN,1961,2559223.0,1213677.0,1345546.0,83.1067056745276,159.4,39.233,37.167,41.271,6.402
BFA,1961,4848224.0,2459689.0,2388535.0,74.0477625592742,170.0,36.361,35.259,37.564,6.286
BGD,1961,53310348.0,27711544.0,25598804.0,82.4439922673821,173.3,44.887,45.693,44.016,6.78
BGR,1961,7943118.0,3966913.0,3976205.0,50.2213098167225,40.5,70.1956097560976,68.42,72.06,2.29
BHR,1961,172346.0,91692.0,80654.0,83.619220115065,147.7,52.278,50.78,54.161,7.231
BHS,1961,122197.0,60056.0,62141.0,80.4844546193043,,62.813,59.818,65.76,5.156
BIH,1961,3348035.0,1580407.0,1767628.0,72.3427671337239,,59.285,57.258,61.219,3.888
BLR,1961,8271216.0,3715355.0,4555861.0,62.7194028229928,33.3,69.7383902439024,66.514,73.124,2.59
BLZ,1961,93632.0,46422.0,47210.0,98.4485608918655,,52.944,52.228,53.689,6.48
BMU,1961,43123.0,22069.0,21054.0,63.7914007900334,,67.528,64.528,70.699,3.594
